,site_name,date,unclean_age,standard_deviation,f_p1,age,data_flag,age_type,database,alt_name,site_details,site_id,f_p2,frac_1,mrt1
246,M36/0981,1993-12-15 00:00:00,1195,,,1195.0,single_value,14c,ecan,nan,nan,nan,,,
247,M35/6667,1993-12-15 00:00:00,853,,,853.0,single_value,14c,ecan,nan,nan,nan,,,
248,M35/1976,1993-12-15 00:00:00,1173,,,1173.0,single_value,14c,ecan,nan,nan,nan,,,
249,M35/5135,1993-12-16 00:00:00,1695,,,1695.0,single_value,14c,ecan,nan,nan,nan,,,
251,M35/3637,1994-04-06 00:00:00,108,,,108.0,single_value,14c,ecan,nan,nan,nan,,,
299,M35/7720,1997-07-29 00:00:00,1120,40.0,,1120.0,single_value_with_sd,14c,ecan,nan,nan,nan,,,
355,M35/3637,1999-04-20 00:00:00,20,,,20.0,single_value,14c,ecan,nan,nan,nan,,,
586,M35/9289,2006-04-13 00:00:00,627,,,627.0,single_value,14c,ecan,nan,nan,nan,,,
587,M35/1976,2006-04-13 00:00:00,1184,,,1184.0,single_value,14c,ecan,nan,nan,nan,,,
588,M36/4565,2006-04-13 00:00:00,650,,,650.0,single_value,14c,ecan,nan,nan,nan,,,
589,M35/6040,2006-04-13 00:00:00,724,,,724.0,single_value,14c,ecan,nan,nan,nan,,,
590,M35/2556,2006-04-13 00:00:00,1028,,,1028.0,single_value,14c,ecan,nan,nan,nan,,,
591,M35/3637,2006-04-13 00:00:00,148,,,148.0,single_value,14c,ecan,nan,nan,nan,,,
592,M35/6667,2006-04-13 00:00:00,831,,,831.0,single_value,14c,ecan,nan,nan,nan,,,
593,M35/6038,2006-04-13 00:00:00,1564,,,1564.0,single_value,14c,ecan,nan,nan,nan,,,
594,M36/0981,2006-04-13 00:00:00,1755,,,1755.0,single_value,14c,ecan,nan,nan,nan,,,
651,M35/10908,2007-02-19 00:00:00,8499,53.0,,8499.0,single_value_with_sd,14c,ecan,nan,nan,nan,,,
660,J39/0412,2007-02-20 00:00:00,4400,,,4400.0,single_value,14c,ecan,nan,nan,nan,,,
661,J40/0632,2007-02-20 00:00:00,20000,,0.6,20000.0,single_value,14c,ecan,nan,nan,nan,,,
662,J39/0412,2007-02-20 00:00:00,200,,0.29,200.0,single_value,14c,ecan,nan,nan,nan,,,
665,N34/0131,2007-02-28 00:00:00,7100,1000.0,,7100.0,single_value_with_sd,14c,ecan,nan,nan,nan,,,
666,N34/0106,2007-02-28 00:00:00,1300,300.0,,1300.0,single_value_with_sd,14c,ecan,nan,nan,nan,,,
673,M34/5540,2007-07-10 00:00:00,1300,,,1300.0,single_value,14c,ecan,nan,nan,nan,,,
674,M34/0340,2007-07-10 00:00:00,2700,,,2700.0,single_value,14c,ecan,nan,nan,nan,,,
675,N34/0139,2007-07-10 00:00:00,17800,,,17800.0,single_value,14c,ecan,nan,nan,nan,,,
691,M34/5707,2007-12-05 00:00:00,7000,,,7000.0,single_value,14c,ecan,nan,nan,nan,,,
696,M36/8515,2008-05-14 00:00:00,7630,50.0,,7630.0,single_value_with_sd,14c,ecan,nan,nan,nan,,,
726,J39/0701,2009-04-06 00:00:00,22500,,0.6,22500.0,single_value,14c,ecan,nan,nan,nan,,,
728,J39/0719,2009-04-06 00:00:00,12200,,0.6,12200.0,single_value,14c,ecan,nan,nan,nan,,,
729,J39/0481,2009-04-07 00:00:00,>43000,,0.6,43000.0,>,14c,ecan,nan,nan,nan,,,
756,L35/0850,2010-02-25 00:00:00,75,,0.37,75.0,single_value,14c,ecan,nan,nan,nan,,,
758,M35/7542,2010-03-01 00:00:00,4760,,,4760.0,single_value,14c,ecan,nan,nan,nan,,,
759,M35/0834,2010-03-01 00:00:00,74,,,74.0,single_value,14c,ecan,nan,nan,nan,,,
760,M35/12018,2010-03-09 00:00:00,78,,0.4,78.0,single_value,14c,ecan,nan,nan,nan,,,
763,M35/8744,2010-03-31 00:00:00,62,,0.4,62.0,single_value,14c,ecan,nan,nan,nan,,,
782,M35/10908,2010-05-20 00:00:00,11600,,0.4,11600.0,single_value,14c,ecan,nan,nan,nan,,,
804,N33/0282,2011-02-10 00:00:00,6120,,,6120.0,single_value,14c,ecan,nan,nan,nan,,,
888,BX23/0270,2017-07-22 00:00:00,<50,12.5,,25.0,<,14c,ecan,nan,nan,nan,,,
889,M35/9431,2017-07-26 00:00:00,<50,12.5,,25.0,<,14c,ecan,nan,nan,nan,,,
890,BX23/0770,2017-07-26 00:00:00,<50,12.5,,25.0,<,14c,ecan,nan,nan,nan,,,
891,BX24/0624,2017-07-26 00:00:00,924,,,924.0,single_value,14c,ecan,nan,nan,nan,,,
892,M35/1257,2017-08-22 00:00:00,206,,,206.0,single_value,14c,ecan,nan,nan,nan,,,
897,M35/2805,2017-09-14 00:00:00,2142,,,2142.0,single_value,14c,ecan,nan,nan,nan,,,
904,M36/20557,2017-09-16 00:00:00,480,,,480.0,single_value,14c,ecan,nan,nan,nan,,,
905,M36/0981,2017-09-19 00:00:00,1625,,,1625.0,single_value,14c,ecan,nan,nan,nan,,,
906,M35/2266,2017-09-19 00:00:00,1452,,,1452.0,single_value,14c,ecan,nan,nan,nan,,,
908,M35/6667,2017-09-19 00:00:00,970,,,970.0,single_value,14c,ecan,nan,nan,nan,,,
909,M35/6040,2017-09-19 00:00:00,544,,,544.0,single_value,14c,ecan,nan,nan,nan,,,
911,M35/3637,2017-09-20 00:00:00,426,,,426.0,single_value,14c,ecan,nan,nan,nan,,,
912,M36/4227,2017-09-20 00:00:00,65,,,65.0,single_value,14c,ecan,nan,nan,nan,,,
916,BX23/0773,2020-08-13 00:00:00,134,,,134.0,single_value,14c,ecan,nan,nan,nan,,,
917,BX23/0771,2020-08-17 00:00:00,<50,12.5,,25.0,<,14c,ecan,nan,nan,nan,,,
918,BX23/0761,2020-08-18 00:00:00,<50,12.5,,25.0,<,14c,ecan,nan,nan,nan,,,
919,BX23/0772,2020-08-20 00:00:00,<50,12.5,,25.0,<,14c,ecan,nan,nan,nan,,,
920,BX23/0763,2020-08-27 00:00:00,278,,,278.0,single_value,14c,ecan,nan,nan,nan,,,
921,BX23/0769,2020-08-27 00:00:00,<50,12.5,,25.0,<,14c,ecan,nan,nan,nan,,,
922,BX23/0762,2020-08-27 00:00:00,132,,,132.0,single_value,14c,ecan,nan,nan,nan,,,
923,BX23/0768,2020-09-04 00:00:00,<50,12.5,,25.0,<,14c,ecan,nan,nan,nan,,,
322,L36/1203,1999-04-07 00:00:00,<2,0.5,,1.0,<,cfc,ecan,nan,nan,nan,,,
323,L36/0424,1999-04-07 00:00:00,43,,,43.0,single_value,cfc,ecan,nan,nan,nan,,,
324,L36/0477,1999-04-07 00:00:00,12,,,12.0,single_value,cfc,ecan,nan,nan,nan,,,
325,M36/3071,1999-04-08 00:00:00,48,,,48.0,single_value,cfc,ecan,nan,nan,nan,,,
326,L36/0835,1999-04-08 00:00:00,8,,,8.0,single_value,cfc,ecan,nan,nan,nan,,,
327,L36/0598,1999-04-08 00:00:00,26,,,26.0,single_value,cfc,ecan,nan,nan,nan,,,
328,M37/0325,1999-04-08 00:00:00,12,,,12.0,single_value,cfc,ecan,nan,nan,nan,,,
329,L36/0421,1999-04-08 00:00:00,16,,,16.0,single_value,cfc,ecan,nan,nan,nan,,,
330,L36/0837,1999-04-09 00:00:00,32,,,32.0,single_value,cfc,ecan,nan,nan,nan,,,
331,L36/0472,1999-04-09 00:00:00,12,,,12.0,single_value,cfc,ecan,nan,nan,nan,,,
332,L36/0473,1999-04-09 00:00:00,17,,,17.0,single_value,cfc,ecan,nan,nan,nan,,,
333,L36/1055,1999-04-09 00:00:00,51,,,51.0,single_value,cfc,ecan,nan,nan,nan,,,
334,L36/1139,1999-04-09 00:00:00,46,,,46.0,single_value,cfc,ecan,nan,nan,nan,,,
335,L36/0590,1999-04-12 00:00:00,25,,,25.0,single_value,cfc,ecan,nan,nan,nan,,,
336,M36/3184,1999-04-12 00:00:00,23,,,23.0,single_value,cfc,ecan,nan,nan,nan,,,
337,L36/1136,1999-04-12 00:00:00,31,,,31.0,single_value,cfc,ecan,nan,nan,nan,,,
338,M36/0160,1999-04-13 00:00:00,13,,,13.0,single_value,cfc,ecan,nan,nan,nan,,,
339,M36/4897,1999-04-13 00:00:00,45,,,45.0,single_value,cfc,ecan,nan,nan,nan,,,
340,M36/4283,1999-04-13 00:00:00,38,,,38.0,single_value,cfc,ecan,nan,nan,nan,,,
341,M36/3994,1999-04-13 00:00:00,51,,,51.0,single_value,cfc,ecan,nan,nan,nan,,,
342,M36/4151,1999-04-14 00:00:00,27,,,27.0,single_value,cfc,ecan,nan,nan,nan,,,
343,L36/1240,1999-04-14 00:00:00,33,,,33.0,single_value,cfc,ecan,nan,nan,nan,,,
344,L35/0199,1999-04-14 00:00:00,15,,,15.0,single_value,cfc,ecan,nan,nan,nan,,,
345,M36/4948,1999-04-14 00:00:00,41,,,41.0,single_value,cfc,ecan,nan,nan,nan,,,
346,L35/0334,1999-04-15 00:00:00,<2,0.5,,1.0,<,cfc,ecan,nan,nan,nan,,,
347,L35/0210,1999-04-15 00:00:00,43,,,43.0,single_value,cfc,ecan,nan,nan,nan,,,
349,M36/3162,1999-04-16 00:00:00,26,,,26.0,single_value,cfc,ecan,nan,nan,nan,,,
351,M35/5841,1999-04-19 00:00:00,16,,,16.0,single_value,cfc,ecan,nan,nan,nan,,,
352,M35/7628,1999-04-19 00:00:00,18,,,18.0,single_value,cfc,ecan,nan,nan,nan,,,
353,M35/0950,1999-04-19 00:00:00,<2,0.5,,1.0,<,cfc,ecan,nan,nan,nan,,,
354,M36/3036,1999-04-20 00:00:00,36,,,36.0,single_value,cfc,ecan,nan,nan,nan,,,
355,M35/3637,1999-04-20 00:00:00,36,,,36.0,single_value,cfc,ecan,nan,nan,nan,,,
356,M36/2768,1999-04-20 00:00:00,>59,,,59.0,>,cfc,ecan,nan,nan,nan,,,
357,M36/4656,1999-04-21 00:00:00,53,,,53.0,single_value,cfc,ecan,nan,nan,nan,,,
358,M36/2691,1999-04-21 00:00:00,45,,,45.0,single_value,cfc,ecan,nan,nan,nan,,,
360,M35/1083,1999-04-22 00:00:00,14,,,14.0,single_value,cfc,ecan,nan,nan,nan,,,
361,M37/0106,1999-04-22 00:00:00,56,,,56.0,single_value,cfc,ecan,nan,nan,nan,,,
362,M36/2746,1999-04-22 00:00:00,52,,,52.0,single_value,cfc,ecan,nan,nan,nan,,,
363,L36/1224,1999-04-22 00:00:00,30,,,30.0,single_value,cfc,ecan,nan,nan,nan,,,
365,M36/5190,1999-04-23 00:00:00,16,,,16.0,single_value,cfc,ecan,nan,nan,nan,,,
278,M35/1255,1997-03-10 00:00:00,45,21.5,0.4,45.0,single_value_with_sd,cfc_11,ecan,nan,nan,nan,,,
279,M35/1224,1997-03-10 00:00:00,50,24.0,0.4,50.0,single_value_with_sd,cfc_11,ecan,nan,nan,nan,,,
374,M35/7688,2000-02-07 00:00:00,11,0.0,0.4,11.0,single_value_with_sd,cfc_11,ecan,nan,nan,nan,,,
375,M35/4223,2000-02-07 00:00:00,20,,0.5,20.0,single_value,cfc_11,ecan,nan,nan,nan,,,
376,M35/8381,2000-02-08 00:00:00,48,,0.5,48.0,single_value,cfc_11,ecan,nan,nan,nan,,,
377,M35/6385,2000-02-08 00:00:00,45,,0.5,45.0,single_value,cfc_11,ecan,nan,nan,nan,,,
378,M35/2716,2000-02-08 00:00:00,22,,0.5,22.0,single_value,cfc_11,ecan,nan,nan,nan,,,
379,M35/3289,2000-02-08 00:00:00,75,25.0,0.4,75.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
380,M35/6427,2000-02-08 00:00:00,34,15.5,0.5,34.0,single_value_with_sd,cfc_11,ecan,nan,nan,nan,,,
381,M35/2589,2000-02-09 00:00:00,79,35.0,0.4,79.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
382,M35/2879,2000-02-09 00:00:00,13,0.0,0.5,13.0,single_value_with_sd,cfc_11,ecan,nan,nan,nan,,,
383,M35/2914,2000-02-09 00:00:00,15.5,,0.5,15.5,single_value,cfc_11,ecan,nan,nan,nan,,,
384,M35/0225,2000-02-09 00:00:00,43,20.0,0.4,43.0,single_value_with_sd,cfc_11,ecan,nan,nan,nan,,,
386,M35/0174,2000-02-10 00:00:00,50,,0.5,50.0,single_value,cfc_11,ecan,nan,nan,nan,,,
387,L35/0577,2000-02-10 00:00:00,72,27.5,0.4,72.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
388,M35/4874,2000-02-10 00:00:00,30,,0.5,30.0,single_value,cfc_11,ecan,nan,nan,nan,,,
389,L35/0349,2000-02-10 00:00:00,18,7.0,0.4,18.0,single_value_with_sd,cfc_11,ecan,nan,nan,nan,,,
390,M35/5585,2000-02-10 00:00:00,26.5,,,26.5,single_value,cfc_11,ecan,nan,nan,nan,,,
391,M35/6662,2000-02-11 00:00:00,>50,,0.4,50.0,>,cfc_11,ecan,nan,nan,nan,,,
394,M35/0834,2000-02-11 00:00:00,85,,0.5,85.0,single_value,cfc_11,ecan,nan,nan,nan,,,
424,M35/1052,2000-11-21 00:00:00,30,,,30.0,single_value,cfc_11,ecan,nan,nan,nan,,,
425,M35/1096,2000-11-21 00:00:00,31,,,31.0,single_value,cfc_11,ecan,nan,nan,nan,,,
426,M35/1045,2000-11-21 00:00:00,42,,,42.0,single_value,cfc_11,ecan,nan,nan,nan,,,
459,M35/3529,2001-12-06 00:00:00,89,25.0,0.5,89.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
460,M35/5875,2001-12-06 00:00:00,93,26.0,0.4,93.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
461,M35/0470,2001-12-06 00:00:00,54,,0.5,54.0,single_value,cfc_11,ecan,nan,nan,nan,,,
462,M35/5875,2001-12-06 00:00:00,93,26.0,0.4,93.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
463,M35/0847,2001-12-07 00:00:00,89,,0.5,89.0,single_value,cfc_11,ecan,nan,nan,nan,,,
464,M35/0181,2001-12-07 00:00:00,34,,0.5,34.0,single_value,cfc_11,ecan,nan,nan,nan,,,
465,M35/5609,2001-12-07 00:00:00,46,,0.5,46.0,single_value,cfc_11,ecan,nan,nan,nan,,,
467,K37/0492,2002-10-29 00:00:00,21,,,21.0,single_value,cfc_11,ecan,nan,nan,nan,,,
475,K38/1380,2003-07-02 00:00:00,1,,0.6,1.0,single_value,cfc_11,ecan,nan,nan,nan,,,
476,K38/1379,2003-07-02 00:00:00,1,,0.6,1.0,single_value,cfc_11,ecan,nan,nan,nan,,,
477,K38/1381,2003-07-02 00:00:00,1,,0.6,1.0,single_value,cfc_11,ecan,nan,nan,nan,,,
478,M36/2857,2003-12-12 00:00:00,243,,0.9,243.0,single_value,cfc_11,ecan,nan,nan,nan,,,
491,M36/7504,2004-05-06 00:00:00,85,,0.9,85.0,single_value,cfc_11,ecan,nan,nan,nan,,,
492,M36/7533,2004-05-07 00:00:00,91,,0.9,91.0,single_value,cfc_11,ecan,nan,nan,nan,,,
493,K36/0436,2004-05-20 00:00:00,30,,0.6,30.0,single_value,cfc_11,ecan,nan,nan,nan,,,
494,K37/1502,2004-05-20 00:00:00,23,,0.6,23.0,single_value,cfc_11,ecan,nan,nan,nan,,,
495,K37/0204,2004-05-20 00:00:00,16,,0.6,16.0,single_value,cfc_11,ecan,nan,nan,nan,,,
496,K36/0061,2004-05-21 00:00:00,17,,0.6,17.0,single_value,cfc_11,ecan,nan,nan,nan,,,
497,K37/1792,2004-05-21 00:00:00,25,,0.6,25.0,single_value,cfc_11,ecan,nan,nan,nan,,,
499,K37/0619,2004-05-26 00:00:00,45,,0.6,45.0,single_value,cfc_11,ecan,nan,nan,nan,,,
500,K37/0562,2004-05-26 00:00:00,17,,0.6,17.0,single_value,cfc_11,ecan,nan,nan,nan,,,
501,K38/1020,2004-05-26 00:00:00,41,,0.6,41.0,single_value,cfc_11,ecan,nan,nan,nan,,,
502,K37/0109,2004-05-27 00:00:00,49,,0.6,49.0,single_value,cfc_11,ecan,nan,nan,nan,,,
503,K37/0066,2004-05-27 00:00:00,29,,0.6,29.0,single_value,cfc_11,ecan,nan,nan,nan,,,
504,K37/1282,2004-05-27 00:00:00,39,,0.6,39.0,single_value,cfc_11,ecan,nan,nan,nan,,,
505,K38/0105,2004-05-31 00:00:00,48,,0.6,48.0,single_value,cfc_11,ecan,nan,nan,nan,,,
506,K38/0690,2004-06-08 00:00:00,52,,0.6,52.0,single_value,cfc_11,ecan,nan,nan,nan,,,
507,K38/0404,2004-06-08 00:00:00,1,,0.6,1.0,single_value,cfc_11,ecan,nan,nan,nan,,,
508,K37/0130,2004-06-24 00:00:00,1,,0.6,1.0,single_value,cfc_11,ecan,nan,nan,nan,,,
509,K37/1390,2004-06-24 00:00:00,38,,0.6,38.0,single_value,cfc_11,ecan,nan,nan,nan,,,
510,K37/1311,2004-06-25 00:00:00,2,,0.6,2.0,single_value,cfc_11,ecan,nan,nan,nan,,,
511,K38/0459,2004-06-25 00:00:00,27,,0.6,27.0,single_value,cfc_11,ecan,nan,nan,nan,,,
516,K38/1700,2004-12-03 00:00:00,>100,,0.9,100.0,>,cfc_11,ecan,nan,nan,nan,,,
517,K38/0014,2004-12-03 00:00:00,>100,,0.9,100.0,>,cfc_11,ecan,nan,nan,nan,,,
518,K38/1701,2004-12-03 00:00:00,>100,,0.9,100.0,>,cfc_11,ecan,nan,nan,nan,,,
519,K38/0619,2004-12-03 00:00:00,>100,,0.9,100.0,>,cfc_11,ecan,nan,nan,nan,,,
520,K38/0618,2004-12-03 00:00:00,>100,,0.9,100.0,>,cfc_11,ecan,nan,nan,nan,,,
521,K38/0394,2004-12-15 00:00:00,>100,,0.9,100.0,>,cfc_11,ecan,nan,nan,nan,,,
522,K38/0679,2004-12-15 00:00:00,97,,0.9,97.0,single_value,cfc_11,ecan,nan,nan,nan,,,
523,L35/0205,2005-01-31 00:00:00,35,,0.5,35.0,single_value,cfc_11,ecan,nan,nan,nan,,,
524,L36/0317,2005-01-31 00:00:00,27,,0.5,27.0,single_value,cfc_11,ecan,nan,nan,nan,,,
525,L35/0596,2005-01-31 00:00:00,15,,0.5,15.0,single_value,cfc_11,ecan,nan,nan,nan,,,
526,L36/1288,2005-01-31 00:00:00,49,,0.5,49.0,single_value,cfc_11,ecan,nan,nan,nan,,,
527,L35/0171,2005-01-31 00:00:00,24,,0.5,24.0,single_value,cfc_11,ecan,nan,nan,nan,,,
528,L36/1635,2005-01-31 00:00:00,82,,0.5,82.0,single_value,cfc_11,ecan,nan,nan,nan,,,
529,L36/1334,2005-02-01 00:00:00,41,,0.5,41.0,single_value,cfc_11,ecan,nan,nan,nan,,,
530,L36/1651,2005-02-01 00:00:00,40,,0.5,40.0,single_value,cfc_11,ecan,nan,nan,nan,,,
531,L35/0666,2005-02-01 00:00:00,30,,0.5,30.0,single_value,cfc_11,ecan,nan,nan,nan,,,
532,L36/0059,2005-02-01 00:00:00,33,,0.5,33.0,single_value,cfc_11,ecan,nan,nan,nan,,,
534,L36/0994,2005-02-03 00:00:00,17,,0.5,17.0,single_value,cfc_11,ecan,nan,nan,nan,,,
535,L36/0579,2005-02-04 00:00:00,25,,0.5,25.0,single_value,cfc_11,ecan,nan,nan,nan,,,
536,M35/6201,2005-04-15 00:00:00,11,,0.9,11.0,single_value,cfc_11,ecan,nan,nan,nan,,,
549,L37/0020,2005-05-09 00:00:00,73,,0.5,73.0,single_value,cfc_11,ecan,nan,nan,nan,,,
551,L37/0297,2005-05-09 00:00:00,43,,0.5,43.0,single_value,cfc_11,ecan,nan,nan,nan,,,
553,L37/0309,2005-05-09 00:00:00,41,,0.5,41.0,single_value,cfc_11,ecan,nan,nan,nan,,,
555,L36/1242,2005-05-10 00:00:00,59,,0.5,59.0,single_value,cfc_11,ecan,nan,nan,nan,,,
556,L37/1181,2005-05-10 00:00:00,44,,0.5,44.0,single_value,cfc_11,ecan,nan,nan,nan,,,
557,L37/0754,2005-05-10 00:00:00,77,,0.5,77.0,single_value,cfc_11,ecan,nan,nan,nan,,,
558,L37/0349,2005-05-11 00:00:00,49,,0.5,49.0,single_value,cfc_11,ecan,nan,nan,nan,,,
559,L37/1076,2005-05-11 00:00:00,51,,0.5,51.0,single_value,cfc_11,ecan,nan,nan,nan,,,
560,L37/1182,2005-05-11 00:00:00,53,,0.5,53.0,single_value,cfc_11,ecan,nan,nan,nan,,,
561,L37/0147,2005-05-11 00:00:00,45,,0.5,45.0,single_value,cfc_11,ecan,nan,nan,nan,,,
562,L36/0948,2005-05-12 00:00:00,27,,0.5,27.0,single_value,cfc_11,ecan,nan,nan,nan,,,
563,L37/0403,2005-05-12 00:00:00,35,,0.5,35.0,single_value,cfc_11,ecan,nan,nan,nan,,,
564,K36/0197,2005-05-12 00:00:00,56,,0.5,56.0,single_value,cfc_11,ecan,nan,nan,nan,,,
565,L37/0415,2005-05-12 00:00:00,39,,0.5,39.0,single_value,cfc_11,ecan,nan,nan,nan,,,
566,K37/0204,2005-05-19 00:00:00,28,,0.6,28.0,single_value,cfc_11,ecan,nan,nan,nan,,,
567,K37/1502,2005-05-20 00:00:00,38,,0.6,38.0,single_value,cfc_11,ecan,nan,nan,nan,,,
568,K37/0619,2005-05-20 00:00:00,48,,0.6,48.0,single_value,cfc_11,ecan,nan,nan,nan,,,
570,K38/1020,2005-05-24 00:00:00,39,,0.6,39.0,single_value,cfc_11,ecan,nan,nan,nan,,,
571,K37/0231,2005-05-24 00:00:00,17,,0.6,17.0,single_value,cfc_11,ecan,nan,nan,nan,,,
579,M35/5866,2005-08-05 00:00:00,<15,3.75,0.9,7.5,<,cfc_11,ecan,nan,nan,nan,,,
580,M35/10233,2005-09-29 00:00:00,350,28.0,0.4,350.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
581,M35/3336,2005-09-29 00:00:00,77,28.0,0.4,77.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
582,L36/0579,2006-02-28 00:00:00,31,,0.5,31.0,single_value,cfc_11,ecan,nan,nan,nan,,,
583,L35/0666,2006-02-28 00:00:00,33,,0.5,33.0,single_value,cfc_11,ecan,nan,nan,nan,,,
584,L36/0737,2006-02-28 00:00:00,27,,0.5,27.0,single_value,cfc_11,ecan,nan,nan,nan,,,
607,L37/1139,2006-05-19 00:00:00,77,,,77.0,single_value,cfc_11,ecan,nan,nan,nan,,,
609,K37/1284,2006-05-19 00:00:00,44,,,44.0,single_value,cfc_11,ecan,nan,nan,nan,,,
610,L37/1558,2006-05-19 00:00:00,65,,,65.0,single_value,cfc_11,ecan,nan,nan,nan,,,
611,M36/0573,2006-05-19 00:00:00,210,,,210.0,single_value,cfc_11,ecan,nan,nan,nan,,,
613,M36/0217,2006-05-19 00:00:00,29 or 46,8.5,,37.5,single_value_with_sd,cfc_11,ecan,nan,nan,nan,,,
614,L36/2143,2006-05-19 00:00:00,92,,,92.0,single_value,cfc_11,ecan,nan,nan,nan,,,
615,K37/1703,2006-05-19 00:00:00,61,,,61.0,single_value,cfc_11,ecan,nan,nan,nan,,,
616,L37/1138,2006-05-19 00:00:00,79,,,79.0,single_value,cfc_11,ecan,nan,nan,nan,,,
617,K37/2085,2006-05-19 00:00:00,71,,,71.0,single_value,cfc_11,ecan,nan,nan,nan,,,
618,M35/9566,2006-06-21 00:00:00,84,30.0,0.4,84.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
621,M35/2589,2006-06-21 00:00:00,85,30.0,0.9,85.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
622,M35/7542,2006-06-27 00:00:00,81,27.5,0.9,81.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
623,M35/0833,2006-06-27 00:00:00,88,29.0,0.9,88.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
627,M35/0847,2006-06-27 00:00:00,87,32.5,0.4,87.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
635,L35/0806,2006-08-31 00:00:00,180,,,180.0,single_value,cfc_11,ecan,nan,nan,nan,,,
636,M35/11199,2006-09-14 00:00:00,80,34.0,0.9,80.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
639,M35/1363,2006-12-13 00:00:00,32,,0.9,32.0,single_value,cfc_11,ecan,nan,nan,nan,,,
641,M35/2627,2006-12-13 00:00:00,<13,3.25,0.9,6.5,<,cfc_11,ecan,nan,nan,nan,,,
642,M35/2472,2006-12-13 00:00:00,29,,0.9,29.0,single_value,cfc_11,ecan,nan,nan,nan,,,
646,M36/7575,2006-12-20 00:00:00,88,,0.5,88.0,single_value,cfc_11,ecan,nan,nan,nan,,,
647,K38/1544,2007-01-18 00:00:00,83,,0.6,83.0,single_value,cfc_11,ecan,nan,nan,nan,,,
648,K37/1301,2007-01-18 00:00:00,63,,,63.0,single_value,cfc_11,ecan,nan,nan,nan,,,
650,K37/1951,2007-02-15 00:00:00,94,,0.6,94.0,single_value,cfc_11,ecan,nan,nan,nan,,,
652,J39/0137,2007-02-19 00:00:00,>100,,0.6,100.0,>,cfc_11,ecan,nan,nan,nan,,,
653,J40/0085,2007-02-19 00:00:00,>100,,0.6,100.0,>,cfc_11,ecan,nan,nan,nan,,,
655,J38/0040,2007-02-19 00:00:00,>100,,0.6,100.0,>,cfc_11,ecan,nan,nan,nan,,,
656,J39/0388,2007-02-19 00:00:00,80,,0.6,80.0,single_value,cfc_11,ecan,nan,nan,nan,,,
657,J39/0514,2007-02-19 00:00:00,>100,,0.6,100.0,>,cfc_11,ecan,nan,nan,nan,,,
658,J40/0703,2007-02-20 00:00:00,>100,,0.6,100.0,>,cfc_11,ecan,nan,nan,nan,,,
659,J40/0620,2007-02-20 00:00:00,87,,0.6,87.0,single_value,cfc_11,ecan,nan,nan,nan,,,
661,J40/0632,2007-02-20 00:00:00,>100,,0.6,100.0,>,cfc_11,ecan,nan,nan,nan,,,
662,J39/0412,2007-02-20 00:00:00,>100,,0.29,100.0,>,cfc_11,ecan,nan,nan,nan,,,
663,J39/0516,2007-02-20 00:00:00,76,,0.6,76.0,single_value,cfc_11,ecan,nan,nan,nan,,,
664,I41/0030,2007-02-20 00:00:00,>100,,0.6,100.0,>,cfc_11,ecan,nan,nan,nan,,,
676,M35/5826,2007-07-20 00:00:00,69,,,69.0,single_value,cfc_11,ecan,nan,nan,nan,,,
678,M35/10751,2007-09-26 00:00:00,30,,0.2,30.0,single_value,cfc_11,ecan,nan,nan,nan,,,
679,M35/11713,2007-09-28 00:00:00,68,27.5,0.7,68.0,single_value_with_sd_>,cfc_11,ecan,nan,nan,nan,,,
680,I38/0052,2007-10-01 00:00:00,25,,0.9,25.0,single_value,cfc_11,ecan,nan,nan,nan,,,
681,I39/0007,2007-10-01 00:00:00,34,,0.5,34.0,single_value,cfc_11,ecan,nan,nan,nan,,,
682,I39/0004,2007-10-01 00:00:00,83,,0.5,83.0,single_value,cfc_11,ecan,nan,nan,nan,,,
683,H38/0051,2007-10-02 00:00:00,23,,0.5,23.0,single_value,cfc_11,ecan,nan,nan,nan,,,
684,I38/0015,2007-10-02 00:00:00,94,,0.5,94.0,single_value,cfc_11,ecan,nan,nan,nan,,,
685,I38/0014,2007-10-02 00:00:00,66,,0.5,66.0,single_value,cfc_11,ecan,nan,nan,nan,,,
686,H38/0059,2007-10-02 00:00:00,62,,0.5,62.0,single_value,cfc_11,ecan,nan,nan,nan,,,
687,H38/0063,2007-10-02 00:00:00,90,,0.5,90.0,single_value,cfc_11,ecan,nan,nan,nan,,,
688,I37/0013,2007-10-03 00:00:00,45,,0.3,45.0,single_value,cfc_11,ecan,nan,nan,nan,,,
